,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
71,Nuwakot,Urleni VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Other building skills,Not very much,No,Nuwakot,524 2 05 28
72,Nuwakot,Urleni VDC,Rural,15-24,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Driving,Somewhat yes,No,Nuwakot,524 2 05 28
73,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Newar,Business,Heavily damaged,Not at all,Somewhat yes,Have Consulted,"Not yet, do not expect to receive",Not very much,Somewhat yes,Completely yes,Not at all,Religious/ Cultural Heritages,Not at all,Completely yes,Business,Little  bit,Somewhat yes,Not many,Handicraft production,Somewhat yes,No,Nuwakot,524 2 05 28
74,Nuwakot,Bidur Municipality,Urban,25-39,Male,Married,Newar,Unemployed,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
75,Nuwakot,Bidur Municipality,Urban,25-39,Female,Married,Dalit,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Completely yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Tailoring,Somewhat yes,No,Nuwakot,524 2 05 28
76,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Newar,Business,Minor damaged,,,,,,,,,Water supply,Somewhat yes,Completely yes,Business,Most,Not very much,Not many,Masonry,Somewhat yes, Yes,Nuwakot,524 2 05 28
77,Nuwakot,Bidur Municipality,Urban,40-54,Female,Married,Newar,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not at all,Somewhat yes,Not very much,Water supply,Don’t Know/Refused,Not very much,Labour,Little  bit,Completely yes,Some concern,Handicraft production,Not at all,No,Nuwakot,524 2 05 28
78,Nuwakot,Bidur Municipality,Urban,25-39,Female,Married,Newar,Home maker/ Housewife,Heavily damaged,Not at all,Not very much,Have Consulted,No,Not very much,Not at all,Completely yes,Somewhat yes,Water supply,Don’t Know/Refused,Somewhat yes,Labour,None,Somewhat yes,Not many,None,Not very much,No,Nuwakot,524 2 05 28
79,Nuwakot,Kalyanpur VDC,Rural,55+,Male,Married,Chhetri,Agriculture,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Completely yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,All,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
80,Nuwakot,Kalyanpur VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Reconstruction completed,Somewhat yes,Don’t Know/Refused,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Don’t know/Refused,No,Nuwakot,524 2 05 28
81,Nuwakot,Kalyanpur VDC,Rural,40-54,Female,Married,Magar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
82,Nuwakot,Kalyanpur VDC,Rural,40-54,Female,Widow/Widower,Chhetri,Agriculture,Completely destroyed – rubble not cleared,Not very much,Not very much,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Not very much,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
83,Nuwakot,Kalyanpur VDC,Rural,40-54,Female,Married,Newar,Agriculture,Reconstruction started,Somewhat yes,Not very much,Don’t know/Refused,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Schools,Not very much,Completely yes,Government job,Half,Not very much,Not many,Entrepreneurship,Don’t know/Refused,No,Nuwakot,524 2 05 28
84,Nuwakot,Kalyanpur VDC,Rural,55+,Female,Married,Newar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
85,Nuwakot,Kalyanpur VDC,Rural,55+,Male,Widow/Widower,Newar,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Don’t Know/Refused,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Don’t know/Refused,No,Nuwakot,524 2 05 28
86,Nuwakot,Kalyanpur VDC,Rural,15-24,Female,Married,Newar,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Not very much,Not very much,Completely yes,Schools,Not very much,Completely yes,Agriculture / livestock,More than we eat,Not very much,Not many,Handicraft production,Don’t know/Refused,No,Nuwakot,524 2 05 28
87,Nuwakot,Fikuri VDC,Rural,55+,Male,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
88,Nuwakot,Fikuri VDC,Rural,40-54,Male,Married,Brahmin,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Completely yes,Completely yes,Not very much,Completely yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Other building skills,Not very much,No,Nuwakot,524 2 05 28
89,Nuwakot,Fikuri VDC,Rural,55+,Male,Married,Brahmin,Agriculture,Reconstruction completed,Not very much,Not very much,Have Consulted,Yes,Not very much,Not very much,Somewhat yes,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Entrepreneurship,Don’t know/Refused,No,Nuwakot,524 2 05 28
90,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Brahmin,Agriculture,Reconstruction completed,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Not very much,Somewhat yes,Not very much,Schools,Not very much,Completely yes,Agriculture / livestock,All,Not very much,Not many,New farming skills,Not very much,No,Nuwakot,524 2 05 28
91,Nuwakot,Fikuri VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Religious/ Cultural Heritages,Not very much,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
92,Nuwakot,Fikuri VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction completed,Not very much,Somewhat yes,Have Consulted,No,Somewhat yes,Somewhat yes,Completely yes,Not very much,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
93,Nuwakot,Fikuri VDC,Rural,40-54,Male,Married,Tamang,Private sector job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Not very much,Roads,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Handicraft production,Not very much,No,Nuwakot,524 2 05 28
94,Nuwakot,Halde kalika VDC,Rural,40-54,Male,Married,Tamang,Private sector job,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Completely yes,Completely yes,Not at all,Not very much,Religious/ Cultural Heritages,Completely yes,Completely yes,Business,Most,Not at all,Not at all,Entrepreneurship,Completely yes,No,Nuwakot,524 2 05 28
95,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Tamang,Private sector job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Not very much,Religious/ Cultural Heritages,Not very much,Completely yes,Remittance,Half,Completely yes,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
96,Nuwakot,Halde kalika VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction started,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Not very much,Not at all,Somewhat yes,Religious/ Cultural Heritages,Not very much,Completely yes,Labour,Little  bit,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
97,Nuwakot,Halde kalika VDC,Rural,25-39,Female,Married,Magar,Agriculture,Completely destroyed - rubble cleared,Not very much,Not very much,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Somewhat yes,Labour,Little  bit,Not very much,Not many,Tailoring,Not at all, Yes,Nuwakot,524 2 05 28
98,Nuwakot,Halde kalika VDC,Rural,55+,Female,Married,Magar,Unemployed,Reconstruction started,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Not at all,Not very much,Somewhat yes,Water supply,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Not very much,No,Nuwakot,524 2 05 28
99,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Magar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Water supply,Not very much,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Other building skills,Not very much,No,Nuwakot,524 2 05 28
100,Nuwakot,Halde kalika VDC,Rural,55+,Female,Widow/Widower,Magar,Unemployed,Completely destroyed - rubble cleared,Not at all,Not very much,Have Consulted,Yes,Not at all,Not at all,Completely yes,Not at all,Water supply,Don’t Know/Refused,Completely yes,Other,Half,Don't know/Refused,Don't Know/refused,None,Not at all,No,Nuwakot,524 2 05 28
101,Nuwakot,Urleni VDC,Rural,55+,Female,Married,Tamang,Home maker/ Housewife,Completely destroyed – rubble not cleared,Not very much,Not very much,Have Consulted,Yes,Not very much,Not at all,Not very much,Not very much,Schools,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Don’t know/Refused,No,Nuwakot,524 2 05 28
102,Nuwakot,Urleni VDC,Rural,55+,Female,Married,Tamang,Home maker/ Housewife,Reconstruction completed,Somewhat yes,Don’t Know/Refused,Have Consulted,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Community Centre,Don’t Know/Refused,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Don’t know/Refused,No,Nuwakot,524 2 05 28
103,Nuwakot,Urleni VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Entrepreneurship,Not very much, Yes,Nuwakot,524 2 05 28
104,Nuwakot,Urleni VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Reconstruction completed,Not very much,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Not very much,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Not very much,No,Nuwakot,524 2 05 28
105,Nuwakot,Urleni VDC,Rural,25-39,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Labour,Little  bit,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
106,Nuwakot,Urleni VDC,Rural,55+,Male,Never Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have Consulted,Yes,Not at all,Not very much,Not very much,Not very much,Water supply,Don’t Know/Refused,Completely yes,Agriculture / livestock,More than we eat,Not very much,Not many,New farming skills,Don’t know/Refused,No,Nuwakot,524 2 05 28
107,Nuwakot,Urleni VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction completed,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not very much, Yes,Nuwakot,524 2 05 28
108,Nuwakot,Urleni VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Labour,Half,Somewhat yes,Not many,New farming skills,Not at all,No,Nuwakot,524 2 05 28
109,Nuwakot,Khani Gaun VDC,Rural,25-39,Female,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
110,Nuwakot,Khani Gaun VDC,Rural,55+,Male,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Other building skills,Somewhat yes,No,Nuwakot,524 2 05 28
111,Nuwakot,Khani Gaun VDC,Rural,40-54,Female,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Other building skills,Not very much,No,Nuwakot,524 2 05 28
112,Nuwakot,Khani Gaun VDC,Rural,55+,Male,Married,Magar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
113,Nuwakot,Khani Gaun VDC,Rural,15-24,Female,Never Married,Brahmin,Student,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
114,Nuwakot,Khani Gaun VDC,Rural,25-39,Female,Married,Chhetri,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
115,Nuwakot,Khani Gaun VDC,Rural,40-54,Male,Married,Chhetri,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
116,Nuwakot,Khani Gaun VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
117,Nuwakot,Taruka VDC,Rural,55+,Male,Widow/Widower,Chhetri,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not at all,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
118,Nuwakot,Taruka VDC,Rural,25-39,Male,Married,Brahmin,Government job,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
119,Nuwakot,Taruka VDC,Rural,40-54,Female,Married,Brahmin,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
120,Nuwakot,Taruka VDC,Rural,40-54,Male,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,All,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
121,Nuwakot,Taruka VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Not very much,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
122,Nuwakot,Taruka VDC,Rural,25-39,Female,Married,Magar,Agriculture,Completely destroyed – rubble not cleared,Not very much,Not very much,Plan to Consult,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Not very much,Community Centre,Not very much,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
123,Nuwakot,Taruka VDC,Rural,40-54,Male,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
124,Nuwakot,Khani Gaun VDC,Rural,40-54,Female,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Some concern,New farming skills,Not very much, Yes,Nuwakot,524 2 05 28
125,Nuwakot,Khani Gaun VDC,Rural,55+,Male,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,None,Somewhat yes,No,Nuwakot,524 2 05 28
126,Nuwakot,Khani Gaun VDC,Rural,55+,Female,Married,Magar,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not very much,No,Nuwakot,524 2 05 28
